order_id,order_date,customer_id,sku_id,channel,units_sold,selling_price,discount_pct,return_flag
ORD0000596,2024-03-04,CUST036703,SKU0036,Nykaa,1,1313.1,0.1,True
ORD0000597,2025-01-02,CUST028293,SKU0049,Nykaa,1,1410.0,0.0,True
ORD0000609,2025-07-06,CUST022515,SKU0038,Amazon,1,435.2,0.2,True
ORD0000626,2024-07-03,CUST004454,SKU0029,D2C Website,1,915.8,0.05,True
ORD0000632,2025-11-14,CUST004089,SKU0182,Amazon,1,1400.3,0.05,True
ORD0000637,2024-06-01,CUST025591,SKU0040,D2C Website,1,995.35,0.15,True
ORD0000641,2025-01-02,CUST005942,SKU0002,Amazon,1,918.65,0.05,True
ORD0000657,2024-01-17,CUST005842,SKU0019,Nykaa,1,813.75,0.25,True
ORD0000718,2024-11-06,CUST024627,SKU0249,D2C Website,4,456.0,0.2,True
ORD0000739,2025-04-25,CUST000674,SKU0034,Nykaa,1,381.0,0.0,True
ORD0000784,2025-02-24,CUST013341,SKU0027,Nykaa,2,1069.7,0.05,True
ORD0000789,2024-02-13,CUST005501,SKU0035,D2C Website,1,874.3,0.3,True
ORD0000795,2025-03-26,CUST034962,SKU0002,Amazon,3,870.3,0.1,True
ORD0000813,2025-01-11,CUST034462,SKU0009,Amazon,1,1311.0,0.0,True
ORD0000827,2025-11-04,CUST012003,SKU0027,D2C Website,1,1013.4,0.1,True
ORD0000849,2025-11-08,CUST027280,SKU0038,Nykaa,2,435.2,0.2,True
ORD0000879,2025-03-25,CUST031043,SKU0002,D2C Website,2,676.9,0.3,True
ORD0000889,2025-10-26,CUST021922,SKU0007,Amazon,1,1464.0,0.0,True
ORD0000891,2025-06-17,CUST035386,SKU0053,Amazon,2,1104.85,0.05,True
ORD0000894,2025-10-28,CUST022216,SKU0031,Offline,1,463.5,0.1,True
ORD0000903,2024-04-30,CUST010279,SKU0012,Offline,1,925.65,0.15,True
ORD0000923,2025-05-31,CUST030463,SKU0182,Amazon,1,1326.6,0.1,True
ORD0000930,2024-08-05,CUST035003,SKU0016,Amazon,1,411.4,0.15,True
ORD0000934,2024-12-02,CUST031230,SKU0039,D2C Website,2,340.0,0.15,True
ORD0000975,2024-06-29,CUST008995,SKU0003,Amazon,3,743.2,0.2,True
ORD0000992,2024-08-21,CUST013128,SKU0051,D2C Website,1,525.0,0.0,True
ORD0001021,2024-09-15,CUST030272,SKU0051,Amazon,1,498.75,0.05,True
ORD0001022,2025-02-12,CUST007516,SKU0021,Nykaa,1,687.2,0.2,True
ORD0001028,2025-11-06,CUST000306,SKU0123,D2C Website,1,706.5,0.1,True
ORD0001035,2025-11-04,CUST014324,SKU0005,Amazon,1,340.85,0.15,True
ORD0001041,2025-03-14,CUST024545,SKU0040,Amazon,2,936.8,0.2,True
ORD0001042,2024-07-25,CUST029081,SKU0067,Nykaa,1,1009.0,0.0,True
ORD0001043,2024-12-02,CUST027191,SKU0025,Amazon,2,1396.5,0.05,True
ORD0001060,2025-05-15,CUST025254,SKU0046,Offline,1,249.9,0.15,True
ORD0001068,2024-06-21,CUST027384,SKU0008,Amazon,1,760.0,0.2,True
ORD0001074,2024-01-08,CUST013833,SKU0002,Amazon,2,821.95,0.15,True
ORD0001109,2025-03-13,CUST023304,SKU0051,Offline,1,446.25,0.15,True
ORD0001111,2024-06-01,CUST015785,SKU0090,Amazon,1,530.4,0.15,True
ORD0001113,2025-10-27,CUST007644,SKU0014,D2C Website,1,893.35,0.15,True
ORD0001131,2025-06-28,CUST005832,SKU0053,Amazon,1,1163.0,0.0,True
ORD0001135,2025-07-18,CUST020841,SKU0050,Offline,1,525.35,0.05,True
ORD0001137,2025-02-16,CUST033658,SKU0129,Nykaa,1,273.6,0.1,True
ORD0001138,2025-11-04,CUST024259,SKU0037,Nykaa,2,429.3,0.1,True
ORD0001163,2025-05-27,CUST022423,SKU0027,Amazon,2,1126.0,0.0,True
ORD0001182,2025-06-20,CUST017967,SKU0027,Nykaa,1,844.5,0.25,True
ORD0001183,2024-05-12,CUST012465,SKU0046,Nykaa,4,279.3,0.05,True
ORD0001200,2025-06-23,CUST006536,SKU0009,Amazon,2,1311.0,0.0,True
ORD0001224,2024-01-27,CUST006948,SKU0229,Nykaa,1,680.85,0.15,True
ORD0001232,2024-05-08,CUST025710,SKU0015,D2C Website,1,991.95,0.15,True
ORD0001236,2024-10-15,CUST020259,SKU0029,D2C Website,1,964.0,0.0,True
ORD0001238,2025-07-31,CUST006109,SKU0036,Offline,1,1021.3,0.3,True
ORD0001254,2024-09-26,CUST003740,SKU0009,Nykaa,4,983.25,0.25,True
ORD0001261,2024-02-02,CUST023691,SKU0017,Nykaa,2,278.6,0.3,True
ORD0001262,2025-04-29,CUST027717,SKU0074,D2C Website,1,751.45,0.05,True
ORD0001284,2024-01-05,CUST010052,SKU0001,Nykaa,1,174.0,0.25,True
ORD0001294,2025-11-06,CUST037969,SKU0051,Nykaa,1,525.0,0.0,True
ORD0001301,2024-09-17,CUST001510,SKU0003,Amazon,1,696.75,0.25,True
ORD0001312,2025-11-03,CUST000715,SKU0182,Nykaa,1,1474.0,0.0,True
ORD0001347,2024-01-14,CUST017291,SKU0027,Nykaa,1,957.1,0.15,True
ORD0001349,2025-05-15,CUST001140,SKU0268,Amazon,1,497.25,0.25,True
ORD0001362,2024-03-07,CUST018548,SKU0014,Nykaa,1,840.8,0.2,True
ORD0001378,2025-08-21,CUST013440,SKU0038,Amazon,2,462.4,0.15,True
ORD0001398,2024-09-13,CUST024532,SKU0016,Amazon,2,484.0,0.0,True
ORD0001415,2025-05-05,CUST002334,SKU0040,Amazon,1,878.25,0.25,True
ORD0001421,2025-07-03,CUST016379,SKU0025,Nykaa,4,1249.5,0.15,True
ORD0001433,2025-11-07,CUST022035,SKU0037,Offline,1,429.3,0.1,True
ORD0001454,2025-12-30,CUST009836,SKU0042,Amazon,2,687.8,0.05,True
ORD0001464,2024-07-21,CUST007917,SKU0048,Amazon,3,745.5,0.25,True
ORD0001468,2024-12-10,CUST023263,SKU0032,Offline,4,561.0,0.15,True
ORD0001483,2024-03-21,CUST010272,SKU0040,Amazon,1,995.35,0.15,True
ORD0001484,2024-10-09,CUST020632,SKU0001,Nykaa,2,197.2,0.15,True
ORD0001486,2025-07-25,CUST000523,SKU0029,D2C Website,3,819.4,0.15,True
ORD0001496,2025-05-15,CUST017559,SKU0049,Amazon,2,1198.5,0.15,True
ORD0001498,2025-03-28,CUST031819,SKU0035,Nykaa,1,1124.1,0.1,True
ORD0001534,2025-07-28,CUST009990,SKU0017,D2C Website,2,358.2,0.1,True
ORD0001547,2025-01-12,CUST017894,SKU0082,D2C Website,1,522.75,0.25,True
ORD0001555,2025-08-23,CUST026423,SKU0015,Amazon,1,991.95,0.15,True
ORD0001560,2024-07-09,CUST011098,SKU0188,Nykaa,2,207.1,0.05,True
ORD0001587,2025-01-12,CUST026096,SKU0051,Offline,1,472.5,0.1,True
ORD0001596,2025-01-27,CUST016898,SKU0043,D2C Website,1,753.0,0.25,True
ORD0001597,2025-09-21,CUST018463,SKU0017,D2C Website,1,338.3,0.15,True
ORD0001600,2024-01-18,CUST007320,SKU0179,Amazon,1,1289.7,0.1,True
ORD0001606,2024-09-20,CUST028406,SKU0039,Offline,2,340.0,0.15,True
ORD0001636,2025-09-13,CUST031511,SKU0015,Nykaa,1,991.95,0.15,True
ORD0001652,2024-12-31,CUST034349,SKU0024,Nykaa,2,232.9,0.15,True
ORD0001674,2025-03-11,CUST026482,SKU0082,D2C Website,2,592.45,0.15,True
ORD0001679,2025-08-30,CUST025564,SKU0012,Nykaa,4,980.1,0.1,True
ORD0001691,2025-08-11,CUST006039,SKU0012,Offline,1,1034.55,0.05,True
ORD0001699,2024-05-31,CUST002586,SKU0247,Nykaa,1,1197.95,0.05,True
ORD0001716,2024-01-27,CUST009460,SKU0274,Offline,3,1422.15,0.05,True
ORD0001742,2024-05-19,CUST036423,SKU0054,Nykaa,1,1213.8,0.15,True
ORD0001747,2024-05-25,CUST007687,SKU0002,Amazon,2,821.95,0.15,True
ORD0001753,2025-11-11,CUST006894,SKU0001,Nykaa,1,197.2,0.15,True
ORD0001784,2024-08-17,CUST028697,SKU0047,Amazon,1,1207.8,0.1,True
ORD0001785,2025-03-22,CUST029391,SKU0048,Amazon,4,994.0,0.0,True
ORD0001813,2024-10-21,CUST005845,SKU0017,D2C Website,1,338.3,0.15,True
ORD0001817,2024-07-01,CUST014058,SKU0021,D2C Website,2,773.1,0.1,True
ORD0001818,2024-07-09,CUST013344,SKU0056,Amazon,2,354.0,0.25,True
ORD0001826,2025-04-04,CUST007497,SKU0040,D2C Website,2,1171.0,0.0,True
ORD0001840,2024-04-16,CUST003829,SKU0014,Nykaa,1,893.35,0.15,True
ORD0001857,2025-09-19,CUST006362,SKU0055,Nykaa,2,682.2,0.1,True
ORD0001914,2024-03-01,CUST023342,SKU0029,Nykaa,1,867.6,0.1,True
ORD0001917,2025-09-03,CUST012776,SKU0170,Amazon,1,755.65,0.15,True
ORD0001925,2024-11-27,CUST008643,SKU0069,Amazon,3,903.55,0.15,True
ORD0001930,2024-02-27,CUST014780,SKU0005,Amazon,1,340.85,0.15,True
ORD0001935,2024-06-17,CUST018443,SKU0050,D2C Website,1,497.7,0.1,True
ORD0001947,2025-03-03,CUST007870,SKU0034,D2C Website,1,323.85,0.15,True
ORD0001953,2024-01-14,CUST018405,SKU0044,Nykaa,1,909.5,0.15,True
ORD0001955,2025-04-03,CUST036911,SKU0278,Nykaa,4,620.8,0.2,True
ORD0001962,2025-07-06,CUST033185,SKU0032,Offline,1,528.0,0.2,True
ORD0001965,2025-07-11,CUST036075,SKU0042,Nykaa,1,724.0,0.0,True
ORD0001972,2024-10-29,CUST016610,SKU0110,Amazon,2,915.0,0.0,True
ORD0001975,2025-08-30,CUST020948,SKU0021,Amazon,1,859.0,0.0,True
ORD0002025,2025-12-04,CUST007303,SKU0032,D2C Website,2,660.0,0.0,True
ORD0002027,2025-07-19,CUST020757,SKU0054,Nykaa,1,1285.2,0.1,True
ORD0002043,2024-06-11,CUST005195,SKU0039,Amazon,2,400.0,0.0,True
ORD0002054,2024-02-13,CUST030198,SKU0233,Amazon,1,992.0,0.0,True
ORD0002065,2025-01-30,CUST019265,SKU0004,Amazon,3,938.25,0.25,True
ORD0002086,2025-09-30,CUST020576,SKU0038,Offline,3,489.6,0.1,True
ORD0002094,2024-06-18,CUST005397,SKU0039,Offline,1,300.0,0.25,True
ORD0002105,2025-11-02,CUST002057,SKU0068,Nykaa,1,1066.0,0.0,True
ORD0002120,2025-04-05,CUST004988,SKU0167,Nykaa,1,498.75,0.05,True
ORD0002121,2024-10-07,CUST020068,SKU0079,Nykaa,3,1023.75,0.25,True
ORD0002127,2024-10-22,CUST010196,SKU0046,Nykaa,1,264.6,0.1,True
ORD0002150,2024-04-12,CUST027537,SKU0105,D2C Website,2,326.25,0.25,True
ORD0002174,2025-11-05,CUST007021,SKU0134,D2C Website,1,1045.95,0.05,True
ORD0002192,2024-10-08,CUST011757,SKU0195,D2C Website,1,711.2,0.2,True
ORD0002193,2024-08-02,CUST029457,SKU0049,D2C Website,1,1410.0,0.0,True
ORD0002209,2024-04-01,CUST035831,SKU0021,D2C Website,2,773.1,0.1,True
ORD0002223,2025-07-19,CUST013627,SKU0007,D2C Website,2,1244.4,0.15,True
ORD0002245,2025-02-18,CUST026651,SKU0134,Nykaa,4,935.85,0.15,True
ORD0002262,2025-09-14,CUST010093,SKU0044,Nykaa,3,1070.0,0.0,True
ORD0002281,2025-10-17,CUST028967,SKU0016,D2C Website,4,387.2,0.2,True
ORD0002288,2024-12-18,CUST031584,SKU0027,Nykaa,2,1126.0,0.0,True
ORD0002297,2025-09-13,CUST026725,SKU0014,Nykaa,2,1051.0,0.0,True
ORD0002299,2025-01-12,CUST032458,SKU0008,Amazon,1,902.5,0.05,True
ORD0002312,2024-05-24,CUST006195,SKU0153,Amazon,1,242.4,0.2,True
ORD0002320,2024-12-12,CUST035691,SKU0032,Nykaa,4,528.0,0.2,True
ORD0002337,2025-09-22,CUST004161,SKU0035,Nykaa,1,1124.1,0.1,True
ORD0002361,2025-03-12,CUST017417,SKU0001,Offline,1,208.8,0.1,True
ORD0002374,2024-11-20,CUST013376,SKU0033,Amazon,1,722.0,0.0,True
ORD0002386,2025-01-23,CUST009336,SKU0043,Amazon,1,1004.0,0.0,True
ORD0002388,2025-07-21,CUST011905,SKU0044,Nykaa,1,1016.5,0.05,True
ORD0002409,2025-08-07,CUST009779,SKU0268,Amazon,3,497.25,0.25,True
ORD0002416,2025-02-16,CUST002092,SKU0248,Amazon,3,824.0,0.0,True
ORD0002431,2024-03-28,CUST014956,SKU0044,D2C Website,3,963.0,0.1,True
ORD0002451,2024-05-21,CUST017433,SKU0017,Amazon,1,338.3,0.15,True
ORD0002469,2024-04-24,CUST035226,SKU0036,Amazon,1,1459.0,0.0,True
ORD0002473,2024-01-12,CUST035396,SKU0196,D2C Website,1,940.5,0.1,True
ORD0002488,2025-06-29,CUST028568,SKU0141,D2C Website,1,1215.5,0.15,True
ORD0002498,2025-05-10,CUST033803,SKU0145,D2C Website,3,949.5,0.25,True
ORD0002508,2025-04-30,CUST035247,SKU0034,Nykaa,2,381.0,0.0,True
ORD0002525,2024-01-07,CUST031103,SKU0080,Amazon,4,956.0,0.2,True
ORD0002531,2025-12-14,CUST036314,SKU0050,Amazon,2,497.7,0.1,True
ORD0002581,2024-07-10,CUST000384,SKU0009,Nykaa,1,1179.9,0.1,True
ORD0002582,2025-08-08,CUST030212,SKU0173,Amazon,1,284.4,0.1,True
ORD0002598,2024-12-25,CUST007614,SKU0037,Amazon,2,405.45,0.15,True
ORD0002602,2025-03-16,CUST031711,SKU0004,D2C Website,2,1063.35,0.15,True
ORD0002616,2024-05-21,CUST029120,SKU0007,Offline,1,1317.6,0.1,True
ORD0002624,2024-10-01,CUST005420,SKU0196,Nykaa,1,1045.0,0.0,True
ORD0002631,2024-08-24,CUST025735,SKU0046,D2C Website,2,249.9,0.15,True
ORD0002632,2025-11-24,CUST037944,SKU0052,D2C Website,2,179.2,0.3,True
ORD0002650,2024-08-13,CUST021923,SKU0035,Offline,2,999.2,0.2,True
ORD0002654,2025-12-11,CUST030274,SKU0004,Offline,1,1125.9,0.1,True
ORD0002656,2024-12-18,CUST012390,SKU0032,Amazon,2,627.0,0.05,True
ORD0002675,2024-07-20,CUST015127,SKU0176,Offline,4,1041.0,0.0,True
ORD0002677,2024-08-17,CUST010611,SKU0029,Offline,1,964.0,0.0,True
ORD0002696,2024-09-23,CUST015787,SKU0039,D2C Website,3,300.0,0.25,True
ORD0002702,2024-10-14,CUST000520,SKU0258,Amazon,1,869.0,0.0,True
ORD0002724,2025-10-04,CUST007971,SKU0035,D2C Website,1,1124.1,0.1,True
ORD0002745,2025-05-18,CUST020661,SKU0046,D2C Website,2,279.3,0.05,True
ORD0002754,2025-03-21,CUST032515,SKU0027,D2C Website,2,788.2,0.3,True
ORD0002765,2025-04-12,CUST003273,SKU0010,D2C Website,1,544.0,0.2,True
ORD0002769,2024-02-04,CUST016009,SKU0038,Amazon,1,516.8,0.05,True
ORD0002771,2025-09-23,CUST037057,SKU0005,Nykaa,1,401.0,0.0,True
ORD0002789,2024-05-31,CUST001795,SKU0239,D2C Website,1,1220.6,0.15,True
ORD0002792,2025-07-22,CUST037596,SKU0261,Amazon,4,168.75,0.25,True
ORD0002808,2024-07-21,CUST008052,SKU0011,Nykaa,1,848.35,0.05,True
ORD0002824,2024-04-12,CUST034795,SKU0014,Amazon,1,1051.0,0.0,True
ORD0002853,2024-11-08,CUST025446,SKU0013,D2C Website,2,576.8,0.2,True
ORD0002877,2024-11-29,CUST031607,SKU0037,Amazon,3,381.6,0.2,True
ORD0002896,2024-11-30,CUST026115,SKU0157,D2C Website,3,259.0,0.0,True
ORD0002935,2024-06-27,CUST036363,SKU0052,Amazon,1,230.4,0.1,True
ORD0002940,2025-08-29,CUST020342,SKU0003,D2C Website,1,743.2,0.2,True
ORD0002942,2025-03-16,CUST037691,SKU0044,Amazon,3,1016.5,0.05,True
ORD0002969,2024-08-02,CUST000467,SKU0235,Amazon,2,972.9,0.1,True
ORD0002993,2024-04-06,CUST007388,SKU0041,Offline,1,259.35,0.05,True
ORD0003005,2024-04-12,CUST012611,SKU0042,D2C Website,2,724.0,0.0,True
ORD0003010,2025-04-21,CUST032436,SKU0004,D2C Website,1,1125.9,0.1,True
ORD0003029,2024-05-09,CUST000634,SKU0049,Amazon,1,1339.5,0.05,True
ORD0003038,2024-01-02,CUST001352,SKU0260,D2C Website,2,1099.5,0.25,True
ORD0003046,2024-09-21,CUST033755,SKU0052,D2C Website,1,230.4,0.1,True
ORD0003056,2024-06-01,CUST022719,SKU0251,Amazon,1,516.6,0.3,True
ORD0003082,2024-12-30,CUST026193,SKU0167,Nykaa,2,498.75,0.05,True
ORD0003097,2024-12-29,CUST033249,SKU0259,D2C Website,2,559.3,0.15,True
ORD0003099,2025-01-08,CUST028676,SKU0001,D2C Website,2,174.0,0.25,True
ORD0003111,2025-04-11,CUST028999,SKU0047,Nykaa,2,1274.9,0.05,True
ORD0003122,2025-07-17,CUST007766,SKU0016,Nykaa,1,484.0,0.0,True
ORD0003130,2025-04-18,CUST006669,SKU0116,D2C Website,1,694.8,0.1,True
ORD0003149,2024-05-13,CUST011539,SKU0063,D2C Website,1,1205.1,0.1,True
ORD0003162,2024-01-06,CUST026064,SKU0002,Nykaa,4,870.3,0.1,True
ORD0003186,2024-11-12,CUST011945,SKU0040,Amazon,1,1112.45,0.05,True
ORD0003202,2024-04-07,CUST022302,SKU0038,Amazon,2,489.6,0.1,True
ORD0003215,2024-10-18,CUST005532,SKU0015,Amazon,1,1167.0,0.0,True
ORD0003238,2024-08-28,CUST002131,SKU0245,Amazon,1,1381.3,0.05,True
ORD0003246,2024-01-12,CUST029782,SKU0012,Amazon,1,871.2,0.2,True
ORD0003249,2025-03-11,CUST031657,SKU0151,Amazon,1,750.55,0.15,True
ORD0003257,2024-05-22,CUST036768,SKU0051,Amazon,2,420.0,0.2,True
ORD0003259,2024-07-29,CUST010674,SKU0031,Amazon,1,515.0,0.0,True
ORD0003294,2025-01-11,CUST015930,SKU0040,Nykaa,1,936.8,0.2,True
ORD0003306,2024-07-10,CUST007958,SKU0028,D2C Website,2,320.4,0.1,True
ORD0003327,2024-03-16,CUST027463,SKU0079,D2C Website,4,1228.5,0.1,True
ORD0003328,2025-08-12,CUST021858,SKU0039,Nykaa,1,320.0,0.2,True
ORD0003331,2024-11-13,CUST017756,SKU0046,Amazon,1,264.6,0.1,True
ORD0003336,2024-06-19,CUST023048,SKU0055,Amazon,1,606.4,0.2,True
ORD0003344,2024-06-13,CUST033669,SKU0011,Amazon,2,714.4,0.2,True
ORD0003349,2024-01-22,CUST028312,SKU0024,Amazon,1,246.6,0.1,True
ORD0003352,2025-12-10,CUST013088,SKU0033,Nykaa,3,505.4,0.3,True
ORD0003357,2024-10-12,CUST034854,SKU0051,Nykaa,4,446.25,0.15,True
ORD0003358,2025-11-26,CUST004164,SKU0030,D2C Website,3,218.25,0.25,True
ORD0003362,2025-01-28,CUST024509,SKU0017,Amazon,1,398.0,0.0,True
ORD0003378,2024-02-23,CUST026765,SKU0013,D2C Website,1,684.95,0.05,True
ORD0003382,2025-01-18,CUST015100,SKU0033,Nykaa,2,505.4,0.3,True
ORD0003401,2024-10-27,CUST034425,SKU0005,D2C Website,1,280.7,0.3,True
ORD0003412,2024-10-31,CUST028465,SKU0009,Amazon,1,1311.0,0.0,True
ORD0003428,2025-04-17,CUST033646,SKU0046,Nykaa,2,249.9,0.15,True
ORD0003442,2024-05-15,CUST025076,SKU0039,Amazon,1,380.0,0.05,True
ORD0003444,2025-08-25,CUST013220,SKU0274,D2C Website,3,1272.45,0.15,True
ORD0003445,2025-02-20,CUST015295,SKU0261,Nykaa,4,168.75,0.25,True
ORD0003448,2025-06-08,CUST021810,SKU0052,Nykaa,1,217.6,0.15,True
ORD0003449,2025-07-07,CUST018218,SKU0044,Nykaa,1,909.5,0.15,True
ORD0003453,2025-01-06,CUST020826,SKU0050,Offline,1,497.7,0.1,True
ORD0003536,2024-07-02,CUST013651,SKU0009,Nykaa,1,1114.35,0.15,True
ORD0003538,2025-06-30,CUST030725,SKU0028,Nykaa,1,267.0,0.25,True
ORD0003542,2024-05-17,CUST021118,SKU0084,D2C Website,1,984.75,0.25,True
ORD0003544,2025-06-25,CUST035122,SKU0027,Amazon,1,900.8,0.2,True
ORD0003549,2025-02-20,CUST028038,SKU0024,Nykaa,2,232.9,0.15,True
ORD0003557,2024-05-18,CUST020940,SKU0017,D2C Website,1,318.4,0.2,True
ORD0003558,2025-08-24,CUST024759,SKU0037,D2C Website,2,477.0,0.0,True
ORD0003586,2025-05-08,CUST009171,SKU0025,Amazon,3,1029.0,0.3,True
ORD0003592,2025-08-09,CUST007199,SKU0012,D2C Website,2,1034.55,0.05,True
ORD0003602,2025-12-28,CUST020418,SKU0042,Nykaa,2,615.4,0.15,True
ORD0003604,2024-05-01,CUST004742,SKU0019,Nykaa,1,976.5,0.1,True
ORD0003606,2024-12-03,CUST020923,SKU0012,D2C Website,1,1034.55,0.05,True
ORD0003615,2024-03-14,CUST032724,SKU0029,D2C Website,2,915.8,0.05,True
ORD0003617,2025-10-18,CUST015563,SKU0041,D2C Website,3,259.35,0.05,True
ORD0003639,2025-06-27,CUST028619,SKU0021,D2C Website,3,730.15,0.15,True
ORD0003652,2025-09-09,CUST019533,SKU0031,Amazon,1,360.5,0.3,True
ORD0003675,2025-05-16,CUST003810,SKU0045,Amazon,1,518.5,0.15,True
ORD0003692,2025-09-12,CUST016046,SKU0039,Amazon,1,380.0,0.05,True
ORD0003711,2025-12-07,CUST022603,SKU0001,Offline,2,197.2,0.15,True
ORD0003718,2025-06-16,CUST009065,SKU0005,Nykaa,1,360.9,0.1,True
ORD0003719,2024-06-04,CUST033948,SKU0034,D2C Website,3,381.0,0.0,True
ORD0003724,2024-10-19,CUST024280,SKU0012,Offline,1,816.75,0.25,True
ORD0003729,2025-10-15,CUST026586,SKU0011,Amazon,1,848.35,0.05,True
ORD0003732,2024-02-21,CUST026432,SKU0251,Amazon,2,738.0,0.0,True
ORD0003739,2024-06-12,CUST021028,SKU0055,Nykaa,1,682.2,0.1,True
ORD0003754,2025-02-03,CUST029006,SKU0051,Offline,2,525.0,0.0,True
ORD0003761,2024-08-28,CUST024029,SKU0009,D2C Website,2,1311.0,0.0,True
ORD0003766,2025-10-17,CUST006304,SKU0021,D2C Website,3,859.0,0.0,True
ORD0003781,2024-04-01,CUST003436,SKU0031,Amazon,1,386.25,0.25,True
ORD0003803,2024-11-26,CUST012319,SKU0094,Offline,1,643.2,0.2,True
ORD0003815,2025-10-11,CUST032669,SKU0016,Amazon,3,435.6,0.1,True
ORD0003830,2024-11-08,CUST011461,SKU0014,Amazon,4,1051.0,0.0,True
ORD0003831,2025-02-14,CUST030008,SKU0030,D2C Website,2,261.9,0.1,True
ORD0003858,2025-06-27,CUST032905,SKU0041,D2C Website,1,204.75,0.25,True
ORD0003859,2024-04-02,CUST024203,SKU0031,Amazon,2,437.75,0.15,True
ORD0003872,2025-08-01,CUST019138,SKU0012,D2C Website,1,980.1,0.1,True
ORD0003874,2024-10-07,CUST024726,SKU0104,Nykaa,4,1175.0,0.0,True
ORD0003877,2025-02-10,CUST000558,SKU0012,Amazon,2,1089.0,0.0,True
ORD0003883,2025-11-04,CUST036057,SKU0243,Nykaa,1,1023.3,0.1,True
ORD0003886,2025-12-19,CUST033442,SKU0221,Amazon,1,819.85,0.05,True
ORD0003887,2024-11-09,CUST023173,SKU0202,D2C Website,1,882.0,0.1,True
ORD0003888,2024-09-20,CUST031057,SKU0047,Offline,1,1140.7,0.15,True
ORD0003906,2025-07-18,CUST018239,SKU0037,Amazon,4,405.45,0.15,True
