customer_id,first_sku_id,first_order_date,second_sku_id,second_order_date,total_orders_lifetime,ltv_90d,is_repeat_customer
CUST000034,SKU0062,2024-01-08,SKU0050,2024-12-01,4,1473.75,True
CUST000035,SKU0126,2024-01-29,SKU0025,2024-04-30,3,780.75,True
CUST000036,SKU0051,2024-10-24,SKU0008,2024-10-25,3,3320.0,True
CUST000037,SKU0060,2024-10-07,,,1,1366.4,False
CUST000038,SKU0011,2025-10-09,,,1,759.05,False
CUST000039,SKU0049,2024-11-07,SKU0056,2025-08-11,3,1057.5,True
CUST000040,SKU0268,2024-02-14,,,1,530.4,False
CUST000041,SKU0043,2024-03-02,SKU0044,2025-04-06,3,1004.0,True
CUST000042,SKU0019,2024-04-12,,,1,1030.75,False
CUST000043,SKU0001,2024-01-19,SKU0012,2024-03-17,5,1200.5,True
CUST000044,SKU0030,2024-04-08,SKU0056,2024-11-09,5,247.35,True
CUST000045,SKU0005,2024-02-23,SKU0260,2025-10-20,2,761.9,True
CUST000046,SKU0163,2025-02-11,SKU0056,2025-09-25,4,4793.6,True
CUST000047,SKU0001,2024-05-14,SKU0056,2024-05-29,3,540.0,True
CUST000049,SKU0012,2025-09-03,,,1,2450.25,False
CUST000050,SKU0278,2025-06-21,,,1,582.0,False
CUST000051,SKU0201,2024-01-21,SKU0113,2025-06-29,4,659.0,True
CUST000052,SKU0074,2025-02-03,SKU0032,2025-05-18,4,2373.0,True
CUST000053,SKU0030,2024-04-02,SKU0037,2024-06-17,3,886.8,True
CUST000055,SKU0005,2025-09-20,,,1,340.85,False
CUST000056,SKU0198,2024-07-16,SKU0250,2024-08-21,3,1564.25,True
CUST000057,SKU0051,2024-05-21,SKU0060,2025-06-22,2,525.0,True
CUST000058,SKU0025,2024-10-10,SKU0021,2025-03-03,3,1470.0,True
CUST000059,SKU0010,2025-03-14,SKU0035,2025-08-02,3,1224.0,True
CUST000060,SKU0215,2024-04-05,,,1,825.75,False
CUST000061,SKU0009,2024-08-13,SKU0120,2025-09-27,3,1048.8,True
CUST000062,SKU0021,2024-01-07,SKU0054,2024-07-19,4,1374.4,True
CUST000063,SKU0035,2024-05-20,,,1,874.3,False
CUST000065,SKU0013,2024-09-05,SKU0203,2025-11-01,2,2163.0,True
CUST000066,SKU0043,2024-02-22,SKU0038,2024-04-11,5,1882.8,True
CUST000068,SKU0003,2024-09-19,SKU0010,2025-08-06,4,789.65,True
CUST000069,SKU0045,2024-05-23,SKU0192,2024-07-06,5,6535.6,True
CUST000070,SKU0047,2025-06-28,SKU0048,2025-08-05,3,3988.5,True
CUST000071,SKU0025,2024-04-05,SKU0025,2025-10-11,4,2499.0,True
CUST000072,SKU0049,2024-03-08,SKU0169,2024-06-02,5,3381.6,True
CUST000074,SKU0028,2025-03-17,,,1,605.2,False
CUST000075,SKU0261,2025-02-02,SKU0067,2025-07-19,3,382.5,True
CUST000076,SKU0025,2024-03-11,SKU0010,2024-07-02,4,4704.0,True
CUST000077,SKU0011,2024-06-25,SKU0011,2025-06-18,3,803.7,True
CUST000078,SKU0028,2025-09-15,,,1,302.6,False
CUST000079,SKU0024,2024-02-22,SKU0079,2025-10-19,3,575.4,True
CUST000080,SKU0051,2024-06-22,SKU0005,2025-03-17,4,446.25,True
CUST000081,SKU0001,2025-03-16,SKU0131,2025-04-01,2,1201.2,True
CUST000082,SKU0128,2024-07-02,SKU0035,2024-12-24,2,594.0,True
CUST000083,SKU0040,2024-05-15,SKU0084,2025-08-22,2,3337.35,True
CUST000084,SKU0044,2024-10-08,SKU0005,2025-05-11,2,1926.0,True
CUST000085,SKU0065,2024-01-29,,,1,595.0,False
CUST000086,SKU0063,2024-09-06,SKU0030,2024-09-12,4,1356.4,True
CUST000087,SKU0033,2024-03-31,SKU0054,2025-09-19,2,649.8,True
CUST000088,SKU0129,2024-08-31,SKU0001,2025-03-04,3,820.8,True
CUST000089,SKU0050,2024-11-27,,,1,553.0,False
CUST000090,SKU0012,2025-02-19,,,1,3267.0,False
CUST000091,SKU0053,2024-01-11,SKU0009,2024-04-20,5,930.4,True
CUST000092,SKU0036,2024-07-16,SKU0052,2024-12-22,4,2772.1,True
CUST000093,SKU0086,2024-07-17,SKU0059,2024-12-11,5,2001.6,True
CUST000094,SKU0078,2024-01-18,SKU0016,2025-09-22,3,1362.3,True
CUST000095,SKU0001,2024-10-28,SKU0054,2025-07-12,2,661.2,True
CUST000096,SKU0014,2024-11-08,SKU0047,2025-02-28,3,945.9,True
CUST000097,SKU0042,2024-01-03,SKU0016,2024-07-21,4,2751.2,True
CUST000098,SKU0034,2024-05-28,SKU0037,2025-01-30,2,381.0,True
CUST000099,SKU0013,2024-12-23,SKU0049,2025-10-23,3,2163.0,True
CUST000100,SKU0001,2024-02-05,SKU0230,2024-07-19,3,394.4,True
CUST000101,SKU0040,2024-01-10,,,1,936.8,False
CUST000103,SKU0057,2024-06-30,SKU0139,2025-03-06,6,1465.0,True
CUST000105,SKU0068,2024-05-20,SKU0045,2025-06-18,2,1066.0,True
CUST000106,SKU0014,2024-02-11,SKU0014,2024-06-11,3,893.35,True
CUST000107,SKU0043,2024-09-16,SKU0235,2024-09-23,2,3533.1,True
CUST000108,SKU0229,2024-02-29,SKU0050,2025-02-08,2,600.75,True
CUST000109,SKU0049,2024-05-02,SKU0104,2024-06-12,5,4265.25,True
CUST000110,SKU0178,2024-06-21,SKU0035,2024-11-14,3,292.5,True
CUST000111,SKU0028,2024-04-17,SKU0036,2024-05-19,3,2363.0,True
CUST000112,SKU0056,2024-07-05,SKU0043,2025-07-14,3,377.6,True
CUST000113,SKU0098,2024-07-31,SKU0215,2025-10-18,2,882.0,True
CUST000114,SKU0034,2024-12-11,SKU0030,2025-07-13,2,361.95,True
CUST000115,SKU0113,2024-07-11,SKU0038,2024-12-13,6,525.6,True
CUST000116,SKU0004,2024-05-31,SKU0089,2024-09-23,3,1188.45,True
CUST000117,SKU0008,2024-03-01,SKU0176,2024-10-09,2,1710.0,True
CUST000118,SKU0227,2025-04-14,,,1,295.0,False
CUST000119,SKU0134,2024-05-28,SKU0045,2025-11-16,2,770.7,True
CUST000120,SKU0031,2024-04-17,SKU0052,2025-12-25,2,489.25,True
CUST000121,SKU0039,2024-02-17,,,1,320.0,False
CUST000122,SKU0025,2024-05-24,SKU0001,2025-01-16,4,1249.5,True
CUST000123,SKU0211,2025-01-07,SKU0054,2025-07-25,2,941.8,True
CUST000124,SKU0151,2024-11-26,SKU0033,2025-11-05,2,1412.8,True
CUST000125,SKU0044,2024-07-27,SKU0045,2024-11-14,2,909.5,True
CUST000126,SKU0249,2024-02-26,SKU0025,2024-07-23,3,484.5,True
CUST000127,SKU0250,2024-11-13,SKU0259,2025-08-02,3,2046.4,True
CUST000129,SKU0025,2024-01-20,SKU0129,2025-03-10,2,2940.0,True
CUST000130,SKU0237,2024-02-14,SKU0055,2025-03-27,3,740.8,True
CUST000131,SKU0029,2024-06-24,SKU0046,2025-10-02,3,867.6,True
CUST000132,SKU0014,2024-11-14,SKU0229,2025-05-11,2,945.9,True
CUST000134,SKU0269,2024-09-26,SKU0040,2025-01-22,5,1355.0,True
CUST000135,SKU0067,2024-10-20,SKU0246,2025-06-14,3,908.1,True
CUST000136,SKU0054,2024-02-05,SKU0005,2025-03-23,2,2427.6,True
CUST000137,SKU0033,2024-09-23,,,1,1444.0,False
CUST000138,SKU0010,2024-04-02,SKU0259,2025-04-03,2,1734.0,True
CUST000139,SKU0010,2024-06-24,SKU0042,2024-09-19,3,1195.6,True
CUST000141,SKU0265,2024-01-31,,,1,784.8,False
CUST000143,SKU0005,2025-10-11,,,1,1022.55,False
CUST000145,SKU0259,2024-11-06,,,1,1052.8,False
CUST000146,SKU0189,2025-04-13,,,1,489.6,False
CUST000147,SKU0146,2024-04-30,SKU0186,2025-05-20,3,794.2,True
CUST000148,SKU0011,2025-03-19,,,1,803.7,False
CUST000150,SKU0030,2025-05-22,SKU0001,2025-09-09,2,261.9,True
CUST000151,SKU0006,2024-03-12,SKU0227,2024-05-25,3,961.0,True
CUST000152,SKU0009,2025-07-31,,,1,983.25,False
CUST000153,SKU0036,2025-06-16,,,1,1313.1,False
CUST000155,SKU0012,2024-11-07,SKU0141,2025-02-21,3,3920.4,True
CUST000156,SKU0237,2024-04-16,SKU0041,2024-07-19,2,2361.3,True
CUST000157,SKU0171,2024-08-09,SKU0008,2024-09-12,4,2777.5,True
CUST000158,SKU0014,2025-02-23,,,1,3573.4,False
CUST000159,SKU0113,2024-11-18,,,1,1168.0,False
CUST000160,SKU0053,2024-05-28,SKU0004,2024-07-05,3,4308.1,True
CUST000161,SKU0056,2024-08-21,SKU0038,2025-03-11,2,802.4,True
CUST000162,SKU0071,2024-04-27,,,1,1365.1,False
CUST000165,SKU0032,2024-07-20,SKU0004,2024-10-04,4,2122.8,True
CUST000166,SKU0252,2024-05-11,SKU0175,2025-05-10,3,392.8,True
CUST000167,SKU0031,2024-03-23,SKU0015,2024-10-28,3,437.75,True
CUST000168,SKU0167,2025-07-03,,,1,420.0,False
CUST000169,SKU0055,2025-08-10,SKU0145,2025-09-24,2,4442.3,True
CUST000170,SKU0160,2024-04-13,SKU0153,2024-05-31,5,981.75,True
CUST000171,SKU0117,2024-03-21,SKU0010,2025-12-24,2,2155.6,True
CUST000172,SKU0054,2024-07-29,SKU0038,2024-07-29,5,6936.0,True
CUST000173,SKU0048,2024-02-11,SKU0176,2024-09-16,4,844.9,True
CUST000174,SKU0240,2024-08-26,SKU0012,2025-08-04,3,1076.4,True
CUST000175,SKU0032,2024-04-13,SKU0017,2025-01-06,3,1254.0,True
CUST000176,SKU0051,2024-10-19,SKU0027,2025-04-23,2,367.5,True
CUST000177,SKU0164,2024-11-20,SKU0002,2025-04-02,6,851.4,True
CUST000178,SKU0027,2025-06-29,SKU0030,2025-08-15,2,1911.7,True
CUST000179,SKU0015,2024-06-03,,,1,2100.6,False
CUST000180,SKU0030,2024-04-18,SKU0003,2024-09-05,3,582.0,True
CUST000181,SKU0044,2024-06-09,SKU0007,2024-07-27,3,3496.8,True
CUST000182,SKU0010,2024-01-19,SKU0035,2024-02-27,4,2155.2,True
CUST000183,SKU0032,2024-01-01,SKU0041,2024-03-28,3,839.7,True
CUST000185,SKU0006,2024-05-07,SKU0045,2024-10-01,3,666.0,True
CUST000186,SKU0052,2024-10-08,SKU0262,2024-12-11,3,4365.4,True
CUST000187,SKU0009,2024-06-28,SKU0114,2025-02-17,2,2228.7,True
CUST000188,SKU0045,2024-06-28,,,1,1159.0,False
CUST000189,SKU0019,2024-08-14,SKU0222,2025-05-22,3,868.0,True
CUST000190,SKU0072,2024-11-29,,,1,908.8,False
CUST000191,SKU0037,2024-05-18,SKU0028,2024-09-21,4,954.0,True
CUST000192,SKU0082,2024-01-30,SKU0007,2024-04-13,2,2014.6,True
CUST000193,SKU0031,2025-02-07,,,1,463.5,False
CUST000194,SKU0270,2024-06-28,SKU0025,2024-10-25,2,2088.1,True
CUST000195,SKU0048,2024-09-23,SKU0171,2024-10-19,2,3334.0,True
CUST000196,SKU0044,2024-03-26,SKU0004,2024-08-01,3,2140.0,True
CUST000197,SKU0011,2024-05-09,,,1,848.35,False
CUST000198,SKU0233,2025-07-11,,,1,744.0,False
CUST000199,SKU0044,2024-10-21,SKU0005,2025-03-01,5,2140.0,True
CUST000200,SKU0211,2024-05-24,SKU0224,2024-07-04,4,4635.8,True
CUST000201,SKU0108,2025-09-08,,,1,1107.0,False
CUST000202,SKU0036,2024-04-14,SKU0003,2025-07-28,3,1240.15,True
CUST000203,SKU0030,2024-09-15,SKU0259,2025-01-26,3,276.45,True
CUST000204,SKU0013,2025-06-29,,,1,1081.5,False
CUST000205,SKU0109,2025-11-06,SKU0013,2025-12-15,2,1551.6,True
CUST000206,SKU0038,2024-03-16,SKU0017,2025-03-23,2,924.8,True
CUST000207,SKU0010,2024-12-23,SKU0103,2025-03-06,2,1035.3,True
CUST000208,SKU0005,2025-11-05,,,1,601.5,False
CUST000209,SKU0052,2024-01-12,SKU0049,2025-01-23,4,435.2,True
CUST000210,SKU0031,2024-03-31,SKU0196,2025-09-16,3,1081.5,True
CUST000211,SKU0038,2024-05-28,SKU0053,2024-11-15,5,435.2,True
CUST000212,SKU0021,2024-06-15,SKU0027,2025-03-18,3,730.15,True
CUST000213,SKU0031,2024-01-15,SKU0045,2024-11-03,3,772.5,True
CUST000214,SKU0054,2024-03-20,SKU0045,2024-03-30,4,1569.4,True
CUST000216,SKU0047,2025-01-28,,,1,1207.8,False
CUST000217,SKU0221,2024-02-25,SKU0045,2025-04-23,3,819.85,True
CUST000218,SKU0040,2024-04-11,SKU0008,2024-04-26,5,4929.85,True
CUST000219,SKU0230,2024-05-15,SKU0044,2024-11-23,2,377.4,True
CUST000220,SKU0046,2025-02-12,SKU0039,2025-03-15,2,929.9,True
CUST000221,SKU0033,2025-04-10,SKU0115,2025-06-26,2,2641.8,True
CUST000223,SKU0003,2024-11-13,SKU0017,2025-11-23,2,929.0,True
CUST000224,SKU0102,2024-03-09,SKU0016,2024-03-19,5,3181.1,True
CUST000225,SKU0194,2024-11-13,SKU0014,2025-04-19,2,508.2,True
CUST000226,SKU0044,2024-07-10,,,1,1070.0,False
CUST000227,SKU0045,2024-12-14,SKU0197,2025-04-25,4,579.5,True
CUST000228,SKU0004,2024-10-17,,,1,4253.4,False
CUST000229,SKU0012,2024-05-07,SKU0021,2025-01-25,3,2178.0,True
CUST000230,SKU0021,2024-09-16,SKU0010,2025-01-22,2,1460.3,True
CUST000231,SKU0055,2024-02-14,SKU0167,2025-07-03,3,720.1,True
CUST000232,SKU0029,2024-11-30,SKU0129,2025-07-17,5,2313.6,True
CUST000233,SKU0008,2024-04-14,SKU0084,2024-10-01,3,1520.0,True
CUST000234,SKU0200,2024-09-11,,,1,3319.2,False
CUST000235,SKU0111,2024-12-14,SKU0046,2025-11-27,2,961.2,True
CUST000236,SKU0092,2025-02-15,,,1,1983.6,False
CUST000237,SKU0113,2024-03-05,SKU0005,2024-03-27,5,2976.8,True
CUST000238,SKU0055,2024-04-01,SKU0042,2024-06-29,4,1187.3,True
CUST000239,SKU0034,2025-06-01,SKU0015,2025-07-06,4,1178.85,True
CUST000240,SKU0010,2024-02-17,SKU0067,2025-03-27,2,2040.0,True
CUST000241,SKU0028,2024-09-06,SKU0003,2024-11-08,4,1145.65,True
CUST000242,SKU0042,2024-05-09,,,1,1013.6,False
CUST000243,SKU0045,2024-07-24,SKU0017,2024-12-18,4,610.0,True
CUST000244,SKU0252,2024-05-15,SKU0038,2024-08-23,5,441.9,True
CUST000245,SKU0053,2024-02-12,SKU0055,2024-06-21,3,1046.7,True
CUST000246,SKU0029,2024-12-19,,,1,867.6,False
CUST000248,SKU0186,2024-03-10,SKU0046,2024-06-12,3,1596.3,True
CUST000250,SKU0050,2025-01-20,SKU0048,2025-04-24,3,553.0,True
CUST000251,SKU0032,2024-04-05,,,1,594.0,False
CUST000252,SKU0009,2024-03-10,SKU0126,2025-02-08,2,917.7,True
CUST000253,SKU0014,2024-06-16,SKU0029,2024-11-06,4,1051.0,True
CUST000254,SKU0040,2024-06-29,,,1,1112.45,False
CUST000255,SKU0035,2024-03-07,SKU0056,2024-08-26,4,2810.25,True
CUST000256,SKU0046,2024-06-17,SKU0011,2025-11-03,2,294.0,True
CUST000257,SKU0043,2024-09-02,SKU0001,2024-11-06,3,1201.2,True
CUST000258,SKU0029,2024-03-09,SKU0021,2025-08-16,3,819.4,True
CUST000259,SKU0263,2025-02-08,,,1,1963.5,False
CUST000260,SKU0004,2024-07-03,SKU0126,2024-07-19,3,3261.75,True
CUST000261,SKU0017,2024-03-10,SKU0010,2024-06-16,5,338.3,True
CUST000262,SKU0005,2024-03-27,SKU0045,2024-08-02,3,320.8,True
CUST000263,SKU0005,2024-10-12,SKU0027,2024-12-07,3,2248.8,True
CUST000264,SKU0075,2024-10-12,SKU0047,2024-12-13,2,5128.6,True
CUST000265,SKU0116,2025-08-23,,,1,656.2,False
CUST000266,SKU0013,2025-06-16,,,1,1442.0,False
CUST000267,SKU0015,2025-06-25,,,1,3501.0,False
CUST000269,SKU0025,2024-02-20,,,1,1249.5,False
CUST000270,SKU0038,2024-02-07,SKU0002,2024-04-29,2,2526.4,True
CUST000271,SKU0274,2025-07-17,SKU0014,2025-07-30,2,3782.25,True
CUST000272,SKU0010,2024-08-10,SKU0081,2024-12-01,2,1020.0,True
CUST000274,SKU0051,2024-05-10,SKU0005,2025-02-28,3,1575.0,True
CUST000276,SKU0015,2025-09-23,,,1,3150.9,False
CUST000277,SKU0054,2024-01-25,SKU0011,2025-01-01,5,1356.6,True
CUST000278,SKU0031,2024-04-27,SKU0036,2024-06-14,4,1626.4,True
CUST000279,SKU0004,2024-03-11,SKU0046,2024-08-10,4,3377.7,True
CUST000280,SKU0004,2024-07-20,SKU0014,2025-05-14,2,1188.45,True
CUST000281,SKU0041,2024-06-15,SKU0129,2025-06-21,3,191.1,True
CUST000282,SKU0040,2024-02-12,SKU0014,2024-06-10,5,1112.45,True
CUST000283,SKU0036,2025-04-28,SKU0002,2025-06-04,2,3320.05,True
CUST000284,SKU0010,2024-12-02,SKU0049,2025-05-30,3,544.0,True
CUST000285,SKU0088,2024-10-18,SKU0039,2025-08-20,2,1240.2,True
CUST000286,SKU0005,2024-02-05,SKU0027,2024-02-10,6,3937.8,True
CUST000287,SKU0048,2024-01-11,SKU0030,2024-09-27,4,944.3,True
CUST000288,SKU0042,2024-02-04,SKU0008,2024-02-12,6,1459.1,True
CUST000289,SKU0041,2025-03-21,,,1,204.75,False
CUST000290,SKU0048,2024-01-06,SKU0051,2024-09-13,3,944.3,True
CUST000291,SKU0031,2024-01-04,SKU0004,2024-04-04,6,978.5,True
CUST000292,SKU0038,2024-05-05,SKU0034,2025-02-23,4,462.4,True
CUST000293,SKU0005,2024-03-07,SKU0003,2024-05-13,3,3519.5,True
CUST000295,SKU0032,2024-07-04,SKU0049,2025-05-28,2,627.0,True
CUST000296,SKU0038,2024-04-07,SKU0028,2024-08-03,2,435.2,True
CUST000297,SKU0010,2024-05-10,SKU0034,2024-06-12,4,1306.0,True
CUST000299,SKU0032,2024-07-06,,,1,561.0,False
CUST000300,SKU0016,2024-10-13,SKU0005,2025-02-16,2,435.6,True
CUST000301,SKU0041,2024-04-14,,,1,737.1,False
CUST000302,SKU0053,2024-09-11,SKU0046,2025-05-10,3,1163.0,True
CUST000304,SKU0054,2024-09-03,SKU0031,2025-06-07,3,3855.6,True
CUST000305,SKU0190,2024-10-10,SKU0043,2025-06-28,2,547.4,True
CUST000306,SKU0123,2025-11-06,,,1,706.5,False
CUST000308,SKU0131,2024-02-19,SKU0002,2024-08-28,4,953.8,True
CUST000309,SKU0227,2024-02-14,SKU0261,2025-01-15,4,221.25,True
CUST000310,SKU0002,2024-08-31,SKU0056,2025-03-18,2,773.6,True
CUST000311,SKU0273,2025-07-26,,,1,3726.4,False
CUST000312,SKU0010,2024-07-23,SKU0054,2024-10-25,2,578.0,True
CUST000313,SKU0059,2025-06-04,,,1,1146.6,False
CUST000314,SKU0002,2025-01-12,SKU0030,2025-08-27,3,870.3,True
CUST000315,SKU0263,2024-03-05,SKU0025,2024-04-14,5,7014.15,True
CUST000316,SKU0032,2025-02-11,SKU0046,2025-09-08,2,627.0,True
CUST000317,SKU0220,2025-10-16,,,1,606.05,False
CUST000318,SKU0017,2024-08-21,SKU0033,2025-11-22,2,338.3,True
CUST000319,SKU0207,2025-11-05,,,1,3583.6,False
CUST000320,SKU0001,2024-12-19,SKU0084,2025-09-20,2,185.6,True
CUST000321,SKU0003,2024-03-21,SKU0004,2024-08-07,4,696.75,True
CUST000322,SKU0056,2024-05-28,,,1,448.4,False
CUST000323,SKU0033,2024-02-07,SKU0226,2024-03-15,2,1276.8,True
CUST000325,SKU0272,2025-02-25,SKU0148,2025-03-06,2,1198.45,True
CUST000326,SKU0016,2024-08-16,SKU0001,2025-02-17,4,459.8,True
CUST000327,SKU0038,2025-10-10,SKU0009,2025-12-07,2,1707.85,True
CUST000328,SKU0012,2024-12-21,SKU0012,2025-05-14,2,1089.0,True
CUST000329,SKU0034,2024-02-20,SKU0256,2024-11-16,4,323.85,True
CUST000330,SKU0045,2024-01-12,SKU0014,2024-01-22,3,2620.5,True
CUST000331,SKU0044,2024-03-31,,,1,909.5,False
CUST000332,SKU0211,2025-01-28,SKU0017,2025-03-28,3,733.9,True
CUST000333,SKU0016,2024-07-04,SKU0188,2024-12-04,3,459.8,True
CUST000334,SKU0045,2024-02-23,SKU0005,2024-04-13,2,929.95,True
CUST000335,SKU0053,2024-12-15,SKU0025,2025-01-09,2,5033.4,True
CUST000336,SKU0007,2024-11-18,,,1,2196.0,False
CUST000337,SKU0051,2024-03-14,SKU0007,2024-05-16,3,1831.5,True
CUST000338,SKU0253,2024-03-25,SKU0035,2025-05-20,3,604.8,True
CUST000339,SKU0236,2025-01-15,SKU0032,2025-10-06,2,325.55,True
CUST000340,SKU0193,2025-06-25,SKU0249,2025-07-14,2,1630.7,True
CUST000341,SKU0235,2024-01-09,SKU0046,2024-11-20,2,2594.4,True
CUST000343,SKU0047,2024-05-21,SKU0013,2024-07-31,4,1753.55,True
CUST000344,SKU0013,2024-04-10,SKU0011,2025-10-06,2,2884.0,True
CUST000345,SKU0006,2024-04-02,SKU0039,2024-11-12,3,1798.2,True
CUST000346,SKU0164,2024-09-10,,,1,2270.4,False
CUST000347,SKU0082,2024-04-27,SKU0045,2025-04-11,3,662.15,True
CUST000348,SKU0009,2024-10-29,SKU0166,2025-10-01,3,1311.0,True
CUST000349,SKU0009,2024-06-27,SKU0017,2025-04-28,2,3539.7,True
CUST000350,SKU0016,2024-06-12,,,1,411.4,False
CUST000352,SKU0043,2025-02-11,SKU0013,2025-10-05,2,2861.4,True
CUST000353,SKU0005,2024-03-31,SKU0054,2024-12-31,2,1604.0,True
CUST000354,SKU0024,2025-10-05,,,1,465.8,False
CUST000355,SKU0017,2024-12-15,,,1,716.4,False
CUST000356,SKU0003,2024-05-31,SKU0268,2024-11-21,3,929.0,True
CUST000357,SKU0121,2025-08-08,,,1,843.2,False
CUST000358,SKU0017,2024-08-08,SKU0013,2025-11-15,2,636.8,True
CUST000359,SKU0028,2024-01-10,SKU0001,2025-01-20,4,712.0,True
CUST000360,SKU0019,2024-01-21,SKU0009,2025-08-22,3,976.5,True
CUST000361,SKU0001,2024-02-14,SKU0040,2024-11-26,3,232.0,True
CUST000362,SKU0012,2024-01-03,,,1,1089.0,False
CUST000363,SKU0241,2024-10-26,SKU0031,2025-10-18,2,1213.2,True
CUST000364,SKU0054,2024-05-11,SKU0042,2024-06-29,5,2443.6,True
CUST000365,SKU0084,2025-06-11,SKU0028,2025-10-19,2,1313.0,True
CUST000366,SKU0016,2024-02-07,SKU0032,2024-11-17,3,459.8,True
CUST000367,SKU0084,2024-05-09,SKU0019,2024-11-14,2,1116.05,True
CUST000369,SKU0016,2025-07-15,SKU0037,2025-11-20,3,484.0,True
CUST000370,SKU0006,2024-03-01,SKU0001,2024-07-08,5,499.5,True
CUST000371,SKU0037,2024-09-17,SKU0005,2024-11-16,5,878.0,True
CUST000372,SKU0051,2025-01-05,SKU0017,2025-02-11,5,1149.95,True
CUST000373,SKU0037,2024-11-25,SKU0033,2025-03-22,3,405.45,True
CUST000374,SKU0046,2024-07-12,SKU0084,2024-09-18,6,1842.2,True
CUST000375,SKU0278,2024-01-24,SKU0024,2024-06-01,4,1241.6,True
CUST000376,SKU0024,2025-03-11,,,1,438.4,False
CUST000377,SKU0031,2024-06-20,SKU0015,2024-09-16,4,1682.0,True
CUST000379,SKU0043,2025-09-30,,,1,853.4,False
CUST000380,SKU0029,2024-10-06,SKU0011,2025-04-19,2,1831.6,True
CUST000381,SKU0055,2024-07-09,SKU0033,2025-06-15,4,530.6,True
CUST000382,SKU0009,2025-04-20,,,1,1114.35,False
CUST000383,SKU0030,2024-10-29,,,1,276.45,False
CUST000384,SKU0009,2024-07-10,,,1,1179.9,False
CUST000385,SKU0034,2024-05-02,SKU0171,2025-01-03,2,342.9,True
CUST000387,SKU0057,2024-01-25,SKU0045,2024-08-01,6,3516.0,True
CUST000388,SKU0037,2024-05-27,SKU0029,2025-03-07,2,453.15,True
CUST000389,SKU0008,2024-08-30,SKU0102,2024-10-30,3,1822.5,True
CUST000390,SKU0040,2025-01-22,,,1,819.7,False
CUST000391,SKU0194,2024-08-03,SKU0016,2024-09-26,4,1718.2,True
CUST000392,SKU0027,2024-09-21,SKU0055,2025-01-16,7,1689.0,True
CUST000393,SKU0014,2024-08-27,SKU0189,2024-11-25,2,1460.85,True
CUST000394,SKU0040,2025-05-06,,,1,1053.9,False
CUST000395,SKU0037,2025-07-13,,,1,357.75,False
CUST000396,SKU0046,2025-07-20,,,1,294.0,False
CUST000397,SKU0045,2024-03-30,SKU0045,2024-07-12,6,457.5,True
CUST000398,SKU0008,2025-01-20,SKU0037,2025-03-09,2,2379.0,True
CUST000399,SKU0056,2024-07-25,SKU0032,2024-08-26,5,2698.3,True
CUST000401,SKU0098,2024-01-08,SKU0052,2024-07-24,3,1764.0,True
CUST000402,SKU0044,2024-01-24,SKU0011,2024-04-13,3,4203.15,True
CUST000403,SKU0054,2024-01-21,SKU0024,2024-04-18,3,1877.2,True
CUST000404,SKU0027,2024-02-11,SKU0036,2024-05-15,5,900.8,True
CUST000405,SKU0013,2024-02-11,SKU0052,2025-03-26,4,721.0,True
CUST000406,SKU0004,2025-08-12,,,1,2001.6,False
CUST000407,SKU0202,2024-05-29,,,1,1764.0,False
